timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,unique_tilings,wall_time
1820000,214672,1.4761,9.13,0.6100,0.9130,0.0000,0.000395,0.000392,-1.255544,0.111744,0.081570,1.1253,108,19342.4
1830000,215825,1.3022,8.65,0.4800,0.8650,0.0000,0.000551,0.000546,-1.287224,0.034097,0.081395,1.1596,108,19452.4
1840000,216979,1.2288,8.61,0.4100,0.8610,0.0000,0.000420,0.000335,-1.280269,0.427306,0.081795,1.1653,109,19560.8
1850000,218137,1.2369,8.59,0.4200,0.8590,0.0000,0.000434,0.000426,-1.284312,-0.084416,0.081574,1.1420,110,19669.2
1860000,219293,1.3624,8.87,0.5200,0.8870,0.0000,0.000473,0.000455,-1.294325,-0.247617,0.081527,1.1526,110,19777.4
1870000,220442,1.3342,8.78,0.5000,0.8780,0.0000,0.000402,0.000429,-1.282013,0.041541,0.081742,1.1490,110,19885.6
1880000,221598,1.2286,8.50,0.4200,0.8500,0.0000,0.000409,0.000466,-1.295365,-0.150098,0.081034,1.1555,110,19994.0
1890000,222751,1.3286,8.72,0.5000,0.8720,0.0000,0.000445,0.000355,-1.263032,0.016133,0.081689,1.1287,110,20102.2
1900000,223912,1.2804,8.63,0.4600,0.8630,0.0000,0.000393,0.000475,-1.338704,-0.201730,0.082054,1.1947,110,20210.4
1910000,225064,1.3096,8.73,0.4800,0.8730,0.0000,0.000356,0.000427,-1.319670,0.148045,0.081271,1.1867,110,20318.6
1920000,226210,1.2642,8.67,0.4400,0.8670,0.0000,0.000435,0.000408,-1.270788,-0.231872,0.081389,1.1299,110,20426.8
1930000,227364,1.1742,8.45,0.3700,0.8450,0.0000,0.000542,0.000376,-1.272321,0.160718,0.081580,1.1341,110,20534.8
1940000,228510,1.2705,8.63,0.4500,0.8630,0.0000,0.000422,0.000428,-1.259770,-0.217048,0.081506,1.1186,110,20642.5
1950000,229666,1.2233,8.55,0.4100,0.8550,0.0000,0.000433,0.000388,-1.295578,-0.065685,0.081391,1.1593,110,20747.7
1960000,230810,1.3923,8.87,0.5500,0.8870,0.0000,0.000448,0.000456,-1.300676,-0.183375,0.081994,1.1603,110,20851.9
1970000,231963,1.2069,8.48,0.4000,0.8480,0.0000,0.000426,0.000457,-1.286285,0.056235,0.081672,1.1467,110,20956.4
1980000,233124,1.1915,8.53,0.3800,0.8530,0.0000,0.000376,0.000456,-1.344007,-0.032232,0.081441,1.2034,110,21062.3
